ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,in,out
2020-02-25 11:21:06,2020-02-25 11:29:59,533,192.168.250.3,23.226.231.226,80,3682,TCP,.A..S.,0,0,13,572,1,4
2020-02-25 11:28:30,2020-02-25 11:30:01,90.27,192.168.250.50,40.114.211.99,61137,443,TCP,....S.,0,0,14,2241,1,4
2020-02-25 11:29:30,2020-02-25 11:30:01,31.58,192.168.250.3,23.226.231.226,80,28857,TCP,.A..S.,0,0,7,308,1,4
2020-02-25 11:30:01,2020-02-25 11:30:01,0,192.168.250.62,192.168.250.1,58474,123,UDP,......,0,16,2,152,1,0
2020-02-25 11:30:01,2020-02-25 11:30:01,0,192.168.250.1,192.168.250.62,123,58474,UDP,......,0,184,2,152,0,1
2020-02-25 11:30:02,2020-02-25 11:30:02,0,192.168.250.50,192.168.250.1,62595,53,UDP,......,0,0,2,132,1,0
2020-02-25 11:30:02,2020-02-25 11:30:02,0,192.168.250.1,192.168.250.50,53,62595,UDP,......,0,0,2,450,0,1
2020-02-25 11:30:02,2020-02-25 11:30:02,0,192.168.250.50,173.194.73.95,62596,443,UDP,......,0,0,11,5023,1,4
2020-02-25 11:30:02,2020-02-25 11:30:02,0,173.194.73.95,217.15.20.194,443,62596,UDP,......,0,0,12,6248,4,1
2020-02-25 11:30:02,2020-02-25 11:30:02,0,192.168.250.50,192.168.250.1,60512,53,UDP,......,0,0,2,126,1,0
2020-02-25 11:30:02,2020-02-25 11:30:02,0,192.168.250.50,192.168.250.1,56363,53,UDP,......,0,0,2,112,1,0
2020-02-25 11:30:02,2020-02-25 11:30:02,0,192.168.250.1,192.168.250.50,53,56363,UDP,......,0,0,2,616,0,1
2020-02-25 11:30:02,2020-02-25 11:30:02,0,192.168.250.1,192.168.250.50,53,60512,UDP,......,0,0,2,502,0,1
2020-02-25 11:30:02,2020-02-25 11:30:02,0,192.168.250.50,108.177.14.94,56364,443,UDP,......,0,0,6,4313,1,4
2020-02-25 11:30:02,2020-02-25 11:30:02,0,108.177.14.94,217.15.20.194,443,56364,UDP,......,0,0,4,4185,4,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,192.168.250.1,61617,53,UDP,......,0,0,2,156,1,0
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,192.168.250.1,61618,53,UDP,......,0,0,2,156,1,0
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61617,UDP,......,0,0,2,508,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,192.168.250.1,61619,53,UDP,......,0,0,2,158,1,0
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,192.168.250.1,61620,53,UDP,......,0,0,2,158,1,0
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61618,UDP,......,0,0,2,700,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,192.168.250.1,61621,53,UDP,......,0,0,2,156,1,0
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,192.168.250.1,61622,53,UDP,......,0,0,2,156,1,0
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.1,192.168.250.27,53,61620,UDP,......,0,0,2,768,0,1
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,192.168.250.1,61623,53,UDP,......,0,0,2,176,1,0
2020-02-25 11:30:03,2020-02-25 11:30:03,0,192.168.250.27,192.168.250.1,61624,53,UDP,......,0,0,2,176,1,0
